,Product,Date,MERGE,SNOW %,CLOUD %,LAND %,SEA %,NODATA %,DATA Count,Test_P_1,Test_P_2,Test_P_3,Test_P_4,Test_P_5
0,H34,20190425,1,0.21746949548528538,2.673013258490636,25.230090201397147,46.390303930402794,25.38751155386073,13778944,85,85,85,0,42
1,H34,20190426,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2,H34,20190427,1,0.21023381762782403,2.908060298379905,24.988112296559155,46.383162599398034,25.38751155386073,13778944,85,85,85,0,0
3,H34,20190428,1,0.20052334924940546,2.5665754937388527,25.33167273195972,46.379025852779435,25.38751155386073,13778944,85,85,85,42,85
4,H34,20190429,1,0.22057568417434603,2.851111086597057,25.01924675795184,46.37451171875,25.38751155386073,13778944,85,85,85,42,85
5,H34,20190430,1,0.21021930272740785,3.2610917063020217,24.611965909724287,46.36977260376412,25.38751155386073,13778944,85,85,85,42,85
6,H34,20190501,1,0.17692212117271106,2.9555965972428657,24.943304798974435,46.36394487124703,25.38751155386073,13778944,85,85,85,0,42
7,H34,20190502,1,0.13130904661489298,3.031008762355083,24.907931986660227,46.35586007171522,25.38751155386073,13778944,42,42,42,0,42
8,H34,20190503,1,0.19520363824687872,3.2106524273558263,24.66112787743386,46.3448868070006,25.38751155386073,13778944,85,85,85,42,85
9,H34,20190504,1,0.1486543526122176,3.4678854925312126,24.44795479247176,46.33283218220497,25.38751155386073,13778944,42,42,85,0,42
10,H34,20190505,1,0.1699477115227408,2.968529373513674,24.923978209070302,46.31968893987812,25.38751155386073,13778944,85,85,85,42,85
11,H34,20190506,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
12,H34,20190507,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
13,H34,20190508,1,0.23871930969456007,3.1525129937388527,24.66661450979117,46.2764055068371,25.38751155386073,13778944,85,85,42,42,42
14,H34,20190509,1,0.1991444337098692,3.1026035086578476,24.75487961922191,46.26107777199762,25.38751155386073,13778944,42,85,85,85,0
15,H34,20190510,1,0.19883236335092153,3.107814357907253,24.74891399515086,46.245481511500444,25.38751155386073,13778944,85,85,85,42,85
16,H34,20190511,1,0.17703098292583233,3.2040554051166765,24.673581661990934,46.22913047618163,25.38751155386073,13778944,85,85,42,42,85
17,H34,20190512,1,0.1903193742568371,3.062099679046522,24.801530509159484,46.21264880675906,25.38751155386073,13778944,85,85,42,42,85
18,H34,20190513,1,0.17740111288644472,2.801441097372919,25.07457755833829,46.195920384029435,25.38751155386073,13778944,85,85,85,42,85
19,H34,20190514,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
20,H34,20190515,1,0.1535821613035077,2.767592349602408,25.13114212526011,46.16069997816959,25.38751155386073,13778944,85,85,85,42,85
21,H34,20190516,1,0.18227811942627825,4.021701517910226,23.84791606671745,46.14315146356644,25.38751155386073,13778944,85,85,85,85,42
22,H34,20190517,1,6.0438013246878715,2.68520577484022,19.375650267538642,46.0743653504942,25.38406426501189,13778944,0,0,0,0,0
23,H34,20190518,1,0.16178308003864447,3.192276563428954,24.69743690082491,46.106624716669145,25.38751155386073,13778944,85,85,0,0,42
24,H34,20190519,1,0.27503559053582044,3.0051577247138823,24.77117259493906,46.088829448758915,25.38751155386073,13778944,85,85,85,42,42
25,H34,20190520,1,0.17372884308115338,3.3321131140383473,24.545378804065102,46.07054067423454,25.38751155386073,13778944,42,42,85,42,0
26,H34,20190521,1,0.15996146003641498,3.386348039443371,24.50478788505128,46.05252042536787,25.38751155386073,13778944,85,85,85,42,42
27,H34,20190522,1,0.13664327251783592,2.943476655395363,24.970839565063912,46.03409375928953,25.38751155386073,13778944,85,85,85,42,85
28,H34,20190523,1,0.17612380164982164,2.666800881112515,25.207882403760408,46.01623317432744,25.38751155386073,13778944,85,85,42,0,85
29,H34,20190524,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
30,H34,20190525,1,0.1754851460315101,2.4113386337879015,25.46364946399376,45.9811071153203,25.38751155386073,13778944,85,85,85,42,42
31,H34,20190526,1,0.18453518644099287,2.968805156621581,24.896980494296226,45.9637835816736,25.38751155386073,13778944,85,85,42,42,42
32,H34,20190527,1,0.17516581822235436,3.082718095087693,24.79233531974584,45.94728739735062,25.38751155386073,13778944,85,85,85,42,42
33,H34,20190528,1,0.18630600429176578,3.0849388748513675,24.778916294311088,45.93062429167286,25.38751155386073,13778944,85,85,85,42,85
34,H34,20190529,1,0.1832070730529132,2.5281835821380794,25.338676171410523,45.91449097986028,25.38751155386073,13778944,85,85,85,42,85
35,H34,20190530,1,0.18373686691810345,2.9720274645139715,24.89420089086653,45.89784238908294,25.38751155386073,13778944,85,85,85,42,85
36,H34,20190531,1,0.17829377926203924,2.967237547376635,24.904361321157847,45.88256545639492,25.38751155386073,13778944,85,85,85,0,85
37,H34,20190601,1,0.19080562342077884,2.4199822569857314,25.439082995039385,45.867462702511894,25.38751155386073,13778944,85,85,85,85,85
38,H34,20190602,1,0.16649316522369204,3.4582838859059155,24.425079309415874,45.852534127433856,25.38751155386073,13778944,0,85,85,85,85
39,H34,20190603,1,0.16396757255127825,2.2712190426203924,25.614669745373813,45.838178890922265,25.38751155386073,13778944,85,85,85,85,85
40,H34,20190604,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
41,H34,20190605,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
42,H34,20190606,1,0.13093891665428062,1.8454462112626338,26.073405915576693,45.798966887447975,25.38751155386073,13778944,85,85,85,42,85
43,H34,20190607,1,0.16965741351441735,2.0900585705261596,25.790067802002824,45.78661470719382,25.38751155386073,13778944,85,85,85,85,42
44,H34,20190608,1,0.13792058375445898,1.7764568895845718,26.135391797803955,45.77625832574688,25.38751155386073,13778944,85,85,85,85,85
45,H34,20190609,1,0.14305885850178357,1.9752166784334126,25.931479219307374,45.765785825096614,25.38751155386073,13778944,85,85,42,85,42
46,H34,20190610,1,0.1424056879830559,2.215837440082491,25.691497113276608,45.75522623504384,25.38751155386073,13778944,85,85,85,42,42
47,H34,20190611,1,0.16900424299568967,2.071094853132432,25.809619372863406,45.746793077902055,25.38751155386073,13778944,85,85,85,0,42
48,H34,20190612,1,0.1106761156733056,2.1044065495875444,25.834635803730677,45.73872279327066,25.38751155386073,13778944,85,85,85,85,85
49,H34,20190613,1,0.12451607322012485,2.20454484755871,25.720657548212696,45.730442042583235,25.38751155386073,13778944,85,85,85,85,85
50,H34,20190614,1,0.14408941643133175,2.2336689952437574,25.67196005731644,45.72420789285449,25.38751155386073,13778944,85,85,42,85,42
51,H34,20190615,1,0.13321049856941142,2.4986457597911715,25.417862210630943,45.71828581348469,25.38751155386073,13778944,85,85,85,0,85
52,H34,20190616,1,6.0467551069225625,1.7650409204072532,20.29093085798157,45.661684959311835,25.38406426501189,13778944,0,0,0,0,0
53,H34,20190617,1,0.13101874860656956,1.8526746316698868,26.066025088715072,45.70856808765606,25.38751155386073,13778944,85,85,85,85,85
54,H34,20190618,1,0.1308082825505351,1.6503586922190845,26.26855149422191,45.70465632199391,25.38751155386073,13778944,85,85,85,42,85
55,H34,20190619,1,6.053823863425238,1.2786901521626042,20.770212869723544,45.65182208447904,25.38406426501189,13778944,0,0,0,0,0
56,H34,20190620,1,0.15902524895957193,1.5345370443482462,26.356156175683708,45.6999825240599,25.38751155386073,13778944,85,85,42,85,85
57,H34,20190621,1,0.10450728299643282,1.8231295518727704,26.122081634122324,45.6999825240599,25.38751155386073,13778944,85,85,85,42,0
58,H34,20190622,1,0.11167038635181332,1.765628773874108,26.172419308765605,45.6999825240599,25.38751155386073,13778944,85,85,85,42,0
59,H34,20190623,1,0.08326472623736624,1.6666444104860285,26.299809332268133,45.6999825240599,25.38751155386073,13778944,85,85,42,42,85
60,H34,20190624,1,0.06980941355157551,1.7304591701657255,26.249449885274228,45.70114371609319,25.38751155386073,13778944,85,85,42,85,85
61,H34,20190625,1,0.09849085677392985,1.9204229293623662,26.03080468285523,45.70340804055812,25.38751155386073,13778944,85,85,42,85,85
62,H34,20190626,1,0.10460888729934602,2.2735486841371877,25.671560897554997,45.70720368701694,25.38751155386073,13778944,85,85,42,85,85
63,H34,20190627,1,0.08324295388674198,2.1305914299383173,25.835884085166466,45.71218229785969,25.38751155386073,13778944,85,85,85,85,85
64,H34,20190628,1,0.08970934202214625,1.6666589253864446,26.29335020158294,45.71690689794515,25.38751155386073,13778944,85,85,85,85,85
65,H34,20190629,1,0.05866197003195601,2.1040944792285967,25.886962019730973,45.721958083289984,25.38751155386073,13778944,42,85,42,85,42
66,H34,20190630,1,0.08047060790725327,1.869032924438912,26.10021493664536,45.72922279094828,25.38751155386073,13778944,42,85,42,85,85
67,H34,20190701,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
68,H34,20190702,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
69,H34,20190703,1,0.07678382320154578,1.8942017617605527,26.078747398929846,45.75305625743163,25.38751155386073,13778944,85,85,42,85,85
70,H34,20190704,1,0.11042210491602258,2.026693772759364,25.912631621116972,45.762425625650266,25.38751155386073,13778944,85,85,85,85,85
71,H34,20190705,1,0.11278077623365042,2.4109757612774967,25.526012733631838,45.77294892845199,25.38751155386073,13778944,85,85,42,85,85
72,H34,20190706,1,0.11437741527942925,2.211098325096611,25.724300788217153,45.784444729581594,25.38751155386073,13778944,85,85,42,85,85
73,H34,20190707,1,0.13166466167508917,2.930122947012485,24.988003434806032,45.795773609356424,25.38751155386073,13778944,85,85,42,85,85
74,H34,20190708,1,0.09473875501634958,2.5459498202474733,25.409116983130204,45.808045957658294,25.38751155386073,13778944,85,85,85,85,85
75,H34,20190709,1,0.12290491927392985,2.5056056545407253,25.421316756929997,45.820681178470565,25.38751155386073,13778944,85,85,42,42,85
76,H34,20190710,1,0.10021812992345423,2.8096347586578476,25.140003471964178,45.83500012773112,25.38751155386073,13778944,85,85,85,85,85
77,H34,20190711,1,0.11271545918177764,4.502645485749852,23.434495415613853,45.848985234282104,25.38751155386073,13778944,85,85,42,42,85
78,H34,20190712,1,0.13046718239075505,2.694263072699911,25.225133362905023,45.863463847447235,25.38751155386073,13778944,85,85,42,85,85
79,H34,20190713,1,0.12699086374108204,1.937274728745541,25.985619797859687,45.877949718062574,25.38751155386073,13778944,85,85,42,42,85
80,H34,20190714,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
81,H34,20190715,1,0.07938924782624851,1.9133904601107314,26.057258088863705,45.910441322644175,25.38751155386073,13778944,85,85,85,42,42
82,H34,20190716,1,0.09764173509958383,1.8373759266312426,26.11512899682298,45.92633513859988,25.38751155386073,13778944,85,85,42,85,85
83,H34,20190717,1,0.07645723794218193,1.9064595951620096,26.067287885051275,45.94256279726516,25.38751155386073,13778944,85,85,85,85,85
84,H34,20190718,1,0.10198169032401903,1.9935997998104935,25.954717574873666,45.960162114019774,25.38751155386073,13778944,85,85,42,85,85
85,H34,20190719,1,0.09447022935865042,2.5307164322607014,25.42525755239298,45.97737678591335,25.38751155386073,13778944,85,85,42,85,85
86,H34,20190720,1,0.09055846369649227,2.133153309861772,25.826892104358652,45.9939382872882,25.38751155386073,13778944,85,85,42,85,85
87,H34,20190721,1,0.11973341353299642,1.821649032030321,26.109395611158593,46.0121617447607,25.38751155386073,13778944,85,85,42,85,85
88,H34,20190722,1,0.1242910922636742,1.9680826048788644,25.958549508583534,46.029448991156364,25.38751155386073,13778944,85,85,42,85,85
89,H34,20190723,1,0.12466122222428656,2.1847682957416765,25.74163883676427,46.04783936998365,25.38751155386073,13778944,85,85,42,85,85
90,H34,20190724,1,0.11928345162009511,2.2146835054994054,25.71722477426427,46.06584510394991,25.38751155386073,13778944,85,85,42,85,85
91,H34,20190725,1,0.09651683031733055,2.1109237398744054,25.84388905274599,46.083575054808264,25.38751155386073,13778944,85,85,42,85,85
92,H34,20190726,1,0.061456088362068964,2.299777109189209,25.69024883184081,46.10251699985137,25.38751155386073,13778944,85,85,42,85,85
93,H34,20190727,1,0.08655235118162902,2.8448043623662307,25.12025594994798,46.120138088956594,25.38751155386073,13778944,85,85,42,85,85
94,H34,20190728,1,6.047161524134215,2.1204019698461654,19.937246279540723,46.08830691234394,25.38406426501189,13778944,0,0,0,0,0
95,H34,20190729,1,0.06789344669664091,1.9914298221982758,25.992877248067774,46.15665032095348,25.38751155386073,13778944,85,85,85,85,85
96,H34,20190730,1,6.044773823015755,1.656861367605529,20.404074506725625,46.123302337247324,25.38406426501189,13778944,0,0,0,0,0
97,H34,20190731,1,0.09544998513674198,2.425701127749703,25.532116249256838,46.19105789239001,25.38751155386073,13778944,85,85,42,42,85
98,H34,20190801,1,0.13358788598023189,2.2261212470273484,25.69410253790131,46.20843948563837,25.38751155386073,13778944,85,85,85,85,85
99,H34,20190802,1,0.13789155395362665,2.561691229748811,25.354932859876634,46.2249792146626,25.38751155386073,13778944,85,85,85,42,85
100,H34,20190803,1,0.12164212293772295,2.2794562486065697,25.654215591557673,46.24138830958309,25.38751155386073,13778944,85,85,85,85,85
101,H34,20190804,1,0.11280980603448276,2.2789917717932524,25.66455745810419,46.257935296057525,25.38751155386073,13778944,85,85,85,85,85
102,H34,20190805,1,0.12885602844456007,2.570922706413496,25.357770522907998,46.27298724778909,25.38751155386073,13778944,85,85,42,85,85
103,H34,20190806,1,0.10200346267464329,2.4644196246098393,25.492468798770062,46.28787227816588,25.38751155386073,13778944,85,85,42,85,85
104,H34,20190807,1,0.1086077423640012,2.0519206696826697,25.899807706599287,46.30248152543475,25.38751155386073,13778944,85,85,42,42,85
105,H34,20190808,1,0.1191455600661415,2.6209918553990788,25.32180985712693,46.316270680830115,25.38751155386073,13778944,85,85,42,42,85
106,H34,20190809,1,0.10899964467523782,2.8420973334386144,25.112918667787604,46.32958084451174,25.38751155386073,13778944,85,85,42,85,85
