,Product,Date,MERGE,SNOW %,CLOUD %,LAND %,SEA %,NODATA %,DATA Count,Test_P_1,Test_P_2,Test_P_3,Test_P_4,Test_P_5
107,H34,20190810,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
108,H34,20190811,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
109,H34,20190812,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
110,H34,20190813,1,0.09297519461578478,1.8406562941252973,26.147860097261443,46.3684952925275,25.38751155386073,13778944,85,85,85,42,85
111,H34,20190814,1,0.09021010608650416,1.8595038923156955,26.139310820916318,46.37331423946567,25.38751155386073,13778944,85,85,85,85,85
112,H34,20190815,1,0.08396869890755054,1.947943180551427,26.065023560586354,46.37800255230009,25.38751155386073,13778944,85,85,85,85,85
113,H34,20190816,1,0.07393164526976814,2.1892171127192332,25.840906240710463,46.38208123931704,25.38751155386073,13778944,85,85,42,85,85
114,H34,20190817,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
115,H34,20190818,1,0.08929566736028537,2.0286968290167953,26.000773353894175,46.38956367048157,25.38751155386073,13778944,85,85,42,85,85
116,H34,20190819,1,0.07793050033442331,2.3920483311348097,25.656008181759066,46.39263357191959,25.38751155386073,13778944,85,85,42,85,85
117,H34,20190820,1,0.09285907541245542,2.4212958554733945,25.618661342988258,46.39526802634513,25.38751155386073,13778944,85,0,42,42,85
118,H34,20190821,1,0.09536289573424495,2.2672347024561534,25.776721351070154,46.39761218276234,25.38751155386073,13778944,85,85,85,42,85
119,H34,20190822,1,0.085957240264566,2.3940078426909928,25.66585654169144,46.39968781352185,25.38751155386073,13778944,85,85,85,85,85
120,H34,20190823,1,0.11063982842226516,2.937663437778686,25.103338833512932,46.40157475057595,25.38751155386073,13778944,85,85,85,85,42
121,H34,20190824,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
122,H34,20190825,1,0.08294539842821047,3.5167063600810047,24.56271685261222,46.4045793349621,25.38751155386073,13778944,85,85,42,85,85
123,H34,20190826,1,0.10836824650713438,2.625564049030172,25.433857630889566,46.4057477844456,25.38751155386073,13778944,85,85,42,85,85
124,H34,20190827,1,0.0923583113480975,2.001176577827735,26.07873288402943,46.40677834237515,25.38751155386073,13778944,85,85,42,85,85
125,H34,20190828,1,0.10328803136147444,1.9366796178284782,26.136516702586203,46.40756214699762,25.38751155386073,13778944,85,85,42,85,42
126,H34,20190829,1,0.1269182892390012,1.8299660699687872,26.22364964978448,46.40821531751635,25.38751155386073,13778944,85,85,42,85,85
127,H34,20190830,1,0.11465319838733651,1.9489084214291024,26.120637401530917,46.40873785393133,25.38751155386073,13778944,42,42,42,85,85
128,H34,20190831,1,0.11045839216706302,1.704339606866825,26.372775736660227,46.409086211541315,25.38751155386073,13778944,42,85,42,85,85
129,H34,20190901,1,0.09564593629236029,1.8703465229265754,26.22450602890904,46.40936199464923,25.38751155386073,13778944,85,85,42,85,85
130,H34,20190902,1,0.07383004096685493,1.7806589532550536,26.338360907773485,46.40953617345422,25.38751155386073,13778944,85,85,85,85,85
131,H34,20190903,1,0.07937473292583234,1.878866769470868,26.236988843266946,46.40960149050609,25.38751155386073,13778944,85,85,85,85,85
132,H34,20190904,1,0.08380177755276456,2.2640994839662603,25.849404714904132,46.40962326285672,25.38751155386073,13778944,85,85,42,85,85
133,H34,20190905,1,0.09239459859913793,2.8044601966594827,25.302055077660523,46.40962326285672,25.38751155386073,13778944,85,85,85,42,85
134,H34,20190906,1,0.06318336151159334,2.452510148818371,25.68443561422414,46.40962326285672,25.38751155386073,13778944,85,85,85,42,85
135,H34,20190907,1,0.0704117819188466,2.51972865264566,25.61102650536935,46.40962326285672,25.38751155386073,13778944,85,85,42,42,85
136,H34,20190908,1,0.12344197058932818,3.366179585315101,24.712256614149823,46.40962326285672,25.38751155386073,13778944,85,85,85,42,85
137,H34,20190909,1,0.09433959525490487,3.0721367326843043,25.035721169924198,46.40962326285672,25.38751155386073,13778944,42,85,85,85,85
138,H34,20190910,1,0.11372424476070153,2.5501083392167065,25.538495547989744,46.40962326285672,25.38751155386073,13778944,42,85,42,85,42
139,H34,20190911,1,0.13153402757134364,2.178439799160226,25.89266637559453,46.40962326285672,25.38751155386073,13778944,85,85,85,85,85
140,H34,20190912,1,0.06741445498290725,1.9059951183486918,26.229288688596164,46.40962326285672,25.38751155386073,13778944,85,85,42,85,85
141,H34,20190913,1,0.06782812964476814,0.25012076397146255,5.663931865896254,45.892754916487064,25.685473429603896,13778944,85,85,85,85,85
142,H34,20190914,1,0.05726128214179548,0.24514941057892392,5.679470066791765,45.892754916487064,25.685473429603896,13778944,85,85,85,85,85
143,H34,20190915,1,0.06355349147220571,0.21261426129607608,5.705713006744204,45.892754916487064,25.685473429603896,13778944,85,85,42,85,85
144,H34,20190916,1,6.0584468592077885,2.13300816085761,20.064251658182222,46.359125924308856,25.38406426501189,13778944,0,0,0,0,0
145,H34,20190917,1,6.069006449260553,2.4645647736140015,19.72213545537307,46.359125924308856,25.38406426501189,13778944,0,0,0,0,0
146,H34,20190918,1,6.055616453626635,2.187830939729489,20.0122592848915,46.35911140940844,25.38406426501189,13778944,0,0,0,0,0
147,H34,20190919,1,6.068476655395362,2.096459641609691,20.090770381242567,46.3589807753047,25.38406426501189,13778944,0,0,0,0,0
148,H34,20190920,1,0.10058825988406658,0.12900117744872175,5.752291322179697,45.89274040158665,25.68507426984245,13778944,85,85,85,85,42
149,H34,20190921,1,0.06697900797042211,0.30711352045555884,5.607788231086505,45.89267508453478,25.68487831868683,13778944,85,85,42,85,85
150,H34,20190922,1,0.051556926278240184,0.2585684360136742,5.671755397220571,45.89250816318,25.684479158925388,13778944,85,85,42,42,85
151,H34,20190923,1,0.04882086754979192,0.2490974634921225,5.683962428470571,45.892333984375,25.68357197764938,13778944,85,85,85,42,85
152,H34,20190924,1,6.059383070284632,2.2679241602259212,19.927514038811683,46.35667290613853,25.38406426501189,13778944,0,0,0,0,0
153,H34,20190925,1,6.063055340089923,3.465846149022741,18.72546981829667,46.35546091195378,25.38406426501189,13778944,0,0,0,0,0
154,H34,20190926,1,6.056480090201397,2.9876600122621877,19.2097376983316,46.35384250055738,25.38406426501189,13778944,0,0,0,0,0
155,H34,20190927,1,6.0535045356160815,2.5994807729823126,19.600268351478896,46.35230392111326,25.38406426501189,13778944,0,0,0,0,0
156,H34,20190928,1,6.079950684174347,2.916108810660672,19.256395845719382,46.350235547803955,25.38406426501189,13778944,0,0,0,0,0
157,H34,20190929,1,6.060674896421671,3.257680704704221,18.933315934806032,46.34770269768133,25.38406426501189,13778944,0,0,0,0,0
158,H34,20190930,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
159,H34,20191001,1,0.11759246572161117,0.4085799318148038,5.454692318946938,45.87627324706451,25.679660211987215,13778944,85,85,85,85,85
160,H34,20191002,1,0.10177848171819262,0.3975413500483056,5.4808626843972945,45.87252840275713,25.679340884178064,13778944,85,85,85,42,85
161,H34,20191003,1,0.06183347577288942,0.30574911981643876,5.6117362839997025,45.86825376458457,25.679050586169737,13778944,85,85,85,85,85
162,H34,20191004,1,0.12865281983873364,3.391050867178211,24.67636852287084,46.375411642575806,25.38751155386073,13778944,85,85,85,42,85
163,H34,20191005,1,0.11315816364447087,3.7903122329258325,24.291244670128567,46.3701137039239,25.38751155386073,13778944,85,85,85,42,85
164,H34,20191006,1,0.13219445554027942,3.4256979344716108,24.635349414294737,46.36386503929474,25.38751155386073,13778944,85,85,42,85,85
165,H34,20191007,1,6.072395678507729,2.888653876523484,19.279670488536713,46.31068970162009,25.38406426501189,13778944,0,0,0,0,0
166,H34,20191008,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
167,H34,20191009,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
168,H34,20191010,1,0.16452639621730084,3.302509974639566,24.71888992364001,46.33350712507431,25.38751155386073,13778944,85,85,85,85,85
169,H34,20191011,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
170,H34,20191012,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
171,H34,20191013,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
172,H34,20191014,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
173,H34,20191015,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
174,H34,20191016,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
175,H34,20191017,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
176,H34,20191018,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
177,H34,20191019,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
178,H34,20191020,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
179,H34,20191021,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
180,H34,20191022,1,0.15403212321640902,3.728079597391498,24.245754972224287,46.202669812722945,25.38751155386073,13778944,85,42,42,85,0
181,H34,20191023,1,0.16127505852407847,3.0939598854600177,24.864467117364,46.19004184936088,25.38751155386073,13778944,85,85,42,85,42
182,H34,20191024,1,0.11070514547413793,2.7929281082788346,25.207512273799793,46.17717439014194,25.38751155386073,13778944,85,85,42,85,42
183,H34,20191025,1,0.17815588770808563,2.6951775114261296,25.228304868645957,46.16420532662009,25.38751155386073,13778944,85,85,85,85,85
184,H34,20191026,1,0.1758044738406659,3.0701989934787455,24.845829985229635,46.15050326062723,25.38751155386073,13778944,85,85,85,85,85
185,H34,20191027,1,0.1744836179027943,3.1288682209609098,24.778524391999852,46.13660524347875,25.38751155386073,13778944,85,85,42,85,85
186,H34,20191028,1,0.2247342031435791,2.6446221132766055,25.202323196901013,46.12261287947756,25.38751155386073,13778944,85,85,85,85,85
187,H34,20191029,1,0.19365054390234837,2.907254721406807,24.959024436125148,46.10859148567554,25.38751155386073,13778944,85,42,42,42,85
188,H34,20191030,1,0.19343282039610582,2.9697195953478004,24.88570967412307,46.09441042796894,25.38751155386073,13778944,85,85,42,42,85
189,H34,20191031,1,0.1350321185716409,3.2021612106123665,24.700114899951693,46.07897383137634,25.38751155386073,13778944,85,85,85,85,0
190,H34,20191101,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
191,H34,20191102,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
192,H34,20191103,1,0.22892175191364447,3.2436738258026163,24.52794640866528,46.0336075101256,25.38751155386073,13778944,85,85,85,42,0
193,H34,20191104,1,0.27991259707565397,2.911638221332491,24.795869697997176,46.01786610062425,25.38751155386073,13778944,85,85,85,0,0
194,H34,20191105,1,0.2862556085575208,2.905026684192925,24.783503002842597,46.00169650156064,25.38751155386073,13778944,85,85,85,42,0
195,H34,20191106,1,0.2325795068185196,3.322678428767836,24.40779932047042,45.98475035532476,25.38751155386073,13778944,85,85,85,42,0
196,H34,20191107,1,0.20484878957342448,3.1647127675386444,24.581528163551575,45.967201840721614,25.38751155386073,13778944,85,85,85,0,42
197,H34,20191108,1,0.2050084534780024,3.222307892390012,24.511435709441884,45.94928319615785,25.38751155386073,13778944,85,85,85,42,0
198,H34,20191109,1,0.23247064506539836,3.310297218712842,24.38369007087916,45.93139358139492,25.38751155386073,13778944,85,85,85,0,0
199,H34,20191110,1,0.25081747919143876,4.221593468991528,23.441854470124852,45.913823294441144,25.38751155386073,13778944,85,85,85,0,0
200,H34,20191111,1,0.2492934146477408,4.207187430328478,23.44531627387411,45.895926422228,25.38751155386073,13778944,85,85,85,42,42
201,H34,20191112,1,0.25574528788272893,4.09443568389566,23.53914059016424,45.87730380499406,25.38751155386073,13778944,85,85,85,42,0
202,H34,20191113,1,0.23877736929622473,4.047153395789982,23.591546638116824,45.85855781110657,25.38751155386073,13778944,85,85,85,42,0
203,H34,20191114,1,0.22390685381985734,4.018979974082193,23.62296414006763,45.83997148112366,25.38751155386073,13778944,85,85,85,0,42
204,H34,20191115,1,0.21099584989967302,3.911656800405024,23.731455763228297,45.82086261472577,25.38751155386073,13778944,85,85,85,42,0
205,H34,20191116,1,0.29766432028463136,4.628714653314506,22.915950598246134,45.80235611669515,25.38751155386073,13778944,85,85,85,0,42
206,H34,20191117,1,0.3124332314580856,4.88364710677393,22.634368787622623,45.78329805244872,25.38751155386073,13778944,85,85,85,42,0
207,H34,20191118,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
208,H34,20191119,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
209,H34,20191120,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
210,H34,20191121,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
211,H34,20191122,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
212,H34,20191123,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
213,H34,20191124,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
214,H34,20191125,1,0.34372735675535077,3.4906158265829372,23.91487330233725,45.632190681666174,25.38751155386073,13778944,85,85,85,0,0
215,H34,20191126,1,0.28904972688763375,4.0877225424531805,23.362951471462544,45.61302375566662,25.38751155386073,13778944,85,85,42,0,0
216,H34,20191127,1,0.30016814060642094,4.6726294845236325,22.758674394786713,45.59623727333532,25.38751155386073,13778944,85,42,42,42,0
217,H34,20191128,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
218,H34,20191129,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
219,H34,20191130,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
220,H34,20191201,1,0.3039565296150416,3.503577632654578,23.890125397127676,45.53036139779652,25.38751155386073,13778944,42,42,42,42,42
221,H34,20191202,1,0.3500703682372176,3.9778012016015163,23.362886154410674,45.51527315881391,25.38751155386073,13778944,42,42,42,42,0
222,H34,20191203,1,6.0884491583680145,3.4019878446417953,18.240265727184898,45.45554434360137,25.38406426501189,13778944,0,0,0,0,0
223,H34,20191204,1,6.122457570043103,3.690471490413198,17.910233178972206,45.44249544812723,25.38406426501189,13778944,0,0,0,0,0
224,H34,20191205,1,6.076619514528835,3.4799328598766346,18.159613683022442,45.43053517018431,25.38406426501189,13778944,0,0,0,0,0
225,H34,20191206,1,6.125077509568222,3.2987070707305293,18.28502968006837,45.41826282188243,25.38406426501189,13778944,0,0,0,0,0
226,H34,20191207,1,6.063410955150119,3.872393994779281,17.766513892501486,45.40756534027571,25.38406426501189,13778944,0,0,0,0,0
227,H34,20191208,1,6.052292541431332,4.155289403890458,17.488074557818074,45.39652675850922,25.38406426501189,13778944,0,0,0,0,0
228,H34,20191209,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
